,Year,Month,City,Employment,Unemployment,Unemployment Rate,Labor Force
350,2016,9,Amarillo,127546.0,4396.0,3.3,131942.0
351,2016,10,Amarillo,127104.0,4287.0,3.3,131391.0
352,2016,11,Amarillo,127535.0,4153.0,3.2,131688.0
353,2016,12,Amarillo,127543.0,4463.0,3.4,132006.0
354,2015,1,Amarillo,125688.0,4188.0,3.2,129876.0
355,2015,2,Amarillo,125877.0,4105.0,3.2,129982.0
356,2015,3,Amarillo,125958.0,4037.0,3.1,129995.0
357,2015,4,Amarillo,125920.0,4075.0,3.1,129995.0
358,2015,5,Amarillo,125888.0,4082.0,3.1,129970.0
359,2015,6,Amarillo,125885.0,3972.0,3.1,129857.0
360,2015,7,Amarillo,125910.0,3922.0,3.0,129832.0
361,2015,8,Amarillo,125953.0,3949.0,3.0,129902.0
362,2015,9,Amarillo,125968.0,4033.0,3.1,130001.0
363,2015,10,Amarillo,126008.0,4133.0,3.2,130141.0
364,2015,11,Amarillo,126098.0,4152.0,3.2,130250.0
365,2015,12,Amarillo,126195.0,4136.0,3.2,130331.0
366,2014,1,Amarillo,126067.0,5332.0,4.1,131399.0
367,2014,2,Amarillo,126300.0,5304.0,4.0,131604.0
368,2014,3,Amarillo,126377.0,5182.0,3.9,131559.0
369,2014,4,Amarillo,126345.0,4964.0,3.8,131309.0
370,2014,5,Amarillo,126274.0,4844.0,3.7,131118.0
371,2014,6,Amarillo,126174.0,4778.0,3.6,130952.0
372,2014,7,Amarillo,125990.0,4760.0,3.6,130750.0
373,2014,8,Amarillo,125768.0,4700.0,3.6,130468.0
374,2014,9,Amarillo,125639.0,4579.0,3.5,130218.0
375,2014,10,Amarillo,125605.0,4490.0,3.5,130095.0
376,2014,11,Amarillo,125556.0,4386.0,3.4,129942.0
377,2014,12,Amarillo,125550.0,4267.0,3.3,129817.0
378,2013,1,Amarillo,125656.0,6290.0,4.8,131946.0
379,2013,2,Amarillo,125453.0,6212.0,4.7,131665.0
380,2013,3,Amarillo,125414.0,6174.0,4.7,131588.0
381,2013,4,Amarillo,125564.0,6204.0,4.7,131768.0
382,2013,5,Amarillo,125694.0,6248.0,4.7,131942.0
383,2013,6,Amarillo,125754.0,6230.0,4.7,131984.0
384,2013,7,Amarillo,125758.0,6099.0,4.6,131857.0
385,2013,8,Amarillo,125697.0,5972.0,4.5,131669.0
386,2013,9,Amarillo,125579.0,5922.0,4.5,131501.0
387,2013,10,Amarillo,125458.0,5832.0,4.4,131290.0
388,2013,11,Amarillo,125509.0,5666.0,4.3,131175.0
389,2013,12,Amarillo,125753.0,5476.0,4.2,131229.0
390,2012,1,Amarillo,125586.0,6630.0,5.0,132216.0
391,2012,2,Amarillo,125490.0,6563.0,5.0,132053.0
392,2012,3,Amarillo,125366.0,6493.0,4.9,131859.0
393,2012,4,Amarillo,125192.0,6434.0,4.9,131626.0
394,2012,5,Amarillo,125084.0,6469.0,4.9,131553.0
395,2012,6,Amarillo,125155.0,6551.0,5.0,131706.0
396,2012,7,Amarillo,125261.0,6552.0,5.0,131813.0
397,2012,8,Amarillo,125371.0,6347.0,4.8,131718.0
398,2012,9,Amarillo,125683.0,6096.0,4.6,131779.0
399,2012,10,Amarillo,125985.0,6029.0,4.6,132014.0
400,2012,11,Amarillo,126031.0,6093.0,4.6,132124.0
401,2012,12,Amarillo,125881.0,6230.0,4.7,132111.0
402,2011,1,Amarillo,123958.0,7291.0,5.6,131249.0
403,2011,2,Amarillo,124277.0,7167.0,5.5,131444.0
404,2011,3,Amarillo,124579.0,7099.0,5.4,131678.0
405,2011,4,Amarillo,124769.0,7121.0,5.4,131890.0
406,2011,5,Amarillo,124912.0,7199.0,5.4,132111.0
407,2011,6,Amarillo,125099.0,7275.0,5.5,132374.0
408,2011,7,Amarillo,125363.0,7261.0,5.5,132624.0
409,2011,8,Amarillo,125635.0,7244.0,5.5,132879.0
410,2011,9,Amarillo,125760.0,7238.0,5.4,132998.0
411,2011,10,Amarillo,125813.0,7059.0,5.3,132872.0
412,2011,11,Amarillo,125844.0,6831.0,5.1,132675.0
413,2011,12,Amarillo,125741.0,6717.0,5.1,132458.0
414,2010,1,Amarillo,121170.0,7566.0,5.9,128736.0
415,2010,2,Amarillo,121166.0,7526.0,5.8,128692.0
416,2010,3,Amarillo,121301.0,7545.0,5.9,128846.0
417,2010,4,Amarillo,121627.0,7528.0,5.8,129155.0
418,2010,5,Amarillo,121987.0,7326.0,5.7,129313.0
419,2010,6,Amarillo,122196.0,7145.0,5.5,129341.0
420,2010,7,Amarillo,122402.0,7119.0,5.5,129521.0
421,2010,8,Amarillo,122676.0,7142.0,5.5,129818.0
422,2010,9,Amarillo,122886.0,7175.0,5.5,130061.0
423,2010,10,Amarillo,123063.0,7303.0,5.6,130366.0
424,2010,11,Amarillo,123304.0,7442.0,5.7,130746.0
425,2010,12,Amarillo,123628.0,7413.0,5.7,131041.0
426,2009,1,Amarillo,124655.0,5598.0,4.3,130253.0
427,2009,2,Amarillo,124605.0,5826.0,4.5,130431.0
428,2009,3,Amarillo,124784.0,5833.0,4.5,130617.0
429,2009,4,Amarillo,125073.0,5747.0,4.4,130820.0
430,2009,5,Amarillo,125256.0,7055.0,5.3,132311.0
431,2009,6,Amarillo,125335.0,7425.0,5.6,132760.0
432,2009,7,Amarillo,125377.0,7633.0,5.7,133010.0
433,2009,8,Amarillo,125318.0,7680.0,5.8,132998.0
434,2009,9,Amarillo,125206.0,7730.0,5.8,132936.0
435,2009,10,Amarillo,125192.0,7646.0,5.8,132838.0
436,2009,11,Amarillo,125219.0,7531.0,5.7,132750.0
437,2009,12,Amarillo,125168.0,7551.0,5.7,132719.0
438,2008,1,Amarillo,125101.0,4287.0,3.3,129388.0
439,2008,2,Amarillo,125090.0,4143.0,3.2,129233.0
440,2008,3,Amarillo,125053.0,4094.0,3.2,129147.0
441,2008,4,Amarillo,124980.0,4135.0,3.2,129115.0
